TRADEDATE,CLOSE,OPEN
2024-04-01,3363.29,3343.66
2024-04-02,3371.29,3369.32
2024-04-03,3395.59,3381.95
2024-04-04,3407.57,3399.81
2024-04-05,3395.37,3393.2
2024-04-08,3417.38,3400.82
2024-04-09,3414.26,3423.41
2024-04-10,3439.11,3424.75
2024-04-11,3439.53,3442.84
2024-04-12,3456.24,3448.6
2024-04-15,3472.19,3456.38
2024-04-16,3462.94,3478.02
2024-04-17,3454.07,3469.57
2024-04-18,3455.82,3451.37
2024-04-19,3470.88,3458.86
2024-04-22,3479.17,3468.09
2024-04-23,3439.42,3483.26
2024-04-24,3428.93,3438.45
2024-04-25,3439.76,3429.62
2024-04-26,3449.77,3446.39
2024-04-27,3465.85,3453.63
2024-04-29,3478.08,3468.92
2024-04-30,3469.83,3481.29
2024-05-02,3442.83,3470.87
2024-05-03,3441.77,3443.49
2024-05-06,3436.05,3441.7
2024-05-07,3427.61,3405.82
2024-05-08,3432.54,3431.84
2024-05-10,3449.78,3438.5
2024-05-13,3457.11,3459.05
